path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,14.9408,49080.0,17692.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,12.6870,41628.0,25156.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,18.8086,51688.0,15156.0
FBCHeRa,0.1,FBCHeRa,FBCHeRa,0.1,FBCHeRa_1,pumar,50,64MB,14.0238,48712.0,18056.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.1202,50004.0,16768.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,24.8290,42752.0,24024.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.1605,53184.0,13588.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,27.3557,50656.0,16136.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.2825,45768.0,21012.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,24.4836,47664.0,19112.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,23.9997,49196.0,17584.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,29.0212,52708.0,14064.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,30.7740,52868.0,13908.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,28.8320,52432.0,14340.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,31.1303,51112.0,15652.0
FBCHeRa,0.3,FBCHeRa,FBCHeRa,0.3,FBCHeRa_1,pumar,50,64MB,26.1303,50032.0,16744.0
