path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time,p1_data,p2_data
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,61.6947,53252.0,13524.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,65.9690,53032.0,13744.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,58.1325,53340.0,13428.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,a2c,50,64MB,65.3598,53264.0,13532.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,58.5193,52932.0,13852.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.7468,51884.0,14924.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.0747,53208.0,13532.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,60.7661,54008.0,12780.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,63.0931,51716.0,15060.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.1205,52520.0,14260.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.7287,52064.0,14716.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.1720,53648.0,13132.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,63.2046,53396.0,13396.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,60.5080,47196.0,19600.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.9572,53200.0,13596.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.2882,53740.0,13060.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,57.1606,52876.0,13900.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.8657,52884.0,13896.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.0744,53920.0,12820.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,63.8700,52644.0,14132.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,59.7817,53836.0,12964.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.4031,52980.0,13804.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,65.7391,53268.0,13516.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,61.9408,52224.0,14556.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.7489,52864.0,13884.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,62.7824,52144.0,14636.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,59.0009,53980.0,12796.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,69.0171,52148.0,14628.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,66.3776,52528.0,14256.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.6913,52808.0,13972.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.8415,52580.0,14208.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,67.5049,49592.0,17192.0
POSRHeRa,0.9%,POSRHeRa,POSRHeRa,0.9%,POSRHeRa,dear,50,64MB,64.4321,53888.0,12892.0
